Name,Location,Founded,Employees,About,Skills,Link
Alyve Health - Data Engineering Lead,Job available in Work From Home,Founded in 2020,10 - 50 employees,"Alyve Health is a health-tech company providing an online AI-based health monitoring and wellness benefits app catering to the needs of corporates, digital platforms, alumni associations, clubs, and more.","Python
Data Analysis
Data Warehousing",https://www.instahyre.com/job-290942-data-engineering-lead-at-alyve-health-work-from-home/
Apposite - SSE,Job available in Noida,Founded in 2012,50 - 200 employees,"Apposite is a training and development company focused on employee training programs and digital learning solutions. It creates innovative and result-oriented learning products for the classroom, web, and mobile.","Python
C
C++
Golang
Java
Node.js
React.js",https://www.instahyre.com/job-290826-sse-at-apposite-noida/
Durianpay - Associate Software Engineer,Job available in Bangalore,Founded in 2020,10 - 50 employees,"Durianpay is a Singapore-based online payment platform that offers one-stop solutions for frictionless checkout, easy-to-integrate modern APIs, and a single dashboard to manage payments and financial needs.","Python
Node.js
Java
Golang",https://www.instahyre.com/job-290856-associate-software-engineer-at-durianpay-2-bangalore/
Durianpay - Associate Software Engineer - Backend,Job available in Bangalore,Founded in 2020,10 - 50 employees,"Durianpay is a Singapore-based online payment platform that offers one-stop solutions for frictionless checkout, easy-to-integrate modern APIs, and a single dashboard to manage payments and financial needs.","Python
Java
Data Structures
AWS
Golang",https://www.instahyre.com/job-290874-associate-software-engineer-backend-at-durianpay-2-bangalore/
Endor Labs - Senior QA Automation Engineer,Job available in Bangalore,Founded in 2021,10 - 50 employees,"Endor Labs backed by Google, Uber, and more, is an AI-driven open-source dependency lifecycle management platform designed for OSS users, prioritizing security and technical debt to manage and analyze SBOM and VEX.","Python
Automation Testing
SDET",https://www.instahyre.com/job-290864-senior-qa-automation-engineer-at-endor-labs-bangalore/
GeoIQ - Data Scientist,Job available in Bangalore,Founded in 2018,10 - 50 employees,"GeoIQ empowers business analysts to data scientists, to turn location data into business outcomes. Its platform and APIs offer insights on where things happen, why they happen and helps predict what will happen.","Python
Machine Learning",https://www.instahyre.com/job-290824-data-scientist-at-geoiq-bangalore/
GrayMatter Software Services - MLOps Engineer,Job available in Bangalore,Founded in 2006,200 - 500 employees,"GrayMatter Software Services is an IT & Services organization that provides services related to End-to-end BI Implementation Services, Airport Analytics, Insurance Analytics, etc.","Python
Deployment
SQL
CI - CD
Build Tools",https://www.instahyre.com/job-290802-mlops-engineer-at-graymatter-software-services-bangalore/
Hevo Data - SDE 3 - Platform,Job available in Bangalore,Founded in 2017,200 - 500 employees,"Based in San Francisco, Hevo is a data integration platform that helps companies in moving data from one source to another. Connects to the source and using the transformation code transfers data to the warehouse.","Python
Golang
Data Structures
Algorithms
Docker",https://www.instahyre.com/job-290944-sde-3-platform-at-hevo-data-bangalore/
LenDenClub - Senior Analytics Specialist,Job available in Mumbai,Founded in 2014,50 - 200 employees,"LenDenClub is a Financial Services company that offers a P2P lending and borrowing platform to users. It specializes in Peer to Peer Lending, Fast Personal Loan, Higher Returns, Online Lending, etc.","Python
Data Analysis
Business Intelligence
Machine Learning
+1",https://www.instahyre.com/job-290889-senior-analytics-specialist-at-lendenclub-mumbai/
NICE - Snowflake Administrator,Job available in Pune,Founded in 1986,More than 1000 employees,"NICE is a provider of cloud and on-premises enterprise software solutions to deliver better customer service, ensure compliance, combat fraud, and public safety by leveraging advanced analytics and automation.","Python
Snowflake
Database Administration
ETL
AWS",https://www.instahyre.com/job-290830-snowflake-administrator-at-nice-pune/
Nimbbl - Technical Support Engineer,Job available in Mumbai,Founded in 2020,10 - 50 employees,"Nimbbl provides payments solutions and caters to businesses of all sizes, payment aggregators, etc. It gives payment providers higher conversions, faster checkout, pay later options, single integration, and more.","Python
Technical Support
Linux
SQL
Shell Scripting",https://www.instahyre.com/job-290883-technical-support-engineer-at-nimbbl-mumbai/
Observe.AI - SDE - I - Backend,Job available in Bangalore,Founded in 2017,50 - 200 employees,"Observe. AI is an AI & NLP-enabled voice assistant platform for call centers. It empowers, assists call agents to perform their jobs better. Backed by Nexus Venture Partner, Y Combinator, and other investors.","Python
C++
Golang
Java
Spring",https://www.instahyre.com/job-290837-sde-i-backend-at-observe-bangalore/
Pelocal Fintech - Full Stack Developer,Job available in Noida,Founded in 2023,10 - 50 employees,PeLocal is a software company building an innovative fin-tech platform to aid vendors and customers with digital payment management and automation solutions that enables convenience and a safe and secure ecosystem.,"Python
PostgreSQL
React.js
AWS
Django",https://www.instahyre.com/job-290867-full-stack-developer-at-pelocal-fintech-noida/
Persistent Systems - Software Engineer,Job available in Bangalore,Founded in 1990,More than 1000 employees,"Persistent Systems is an IT & Services company that has specialities in Outsourced Software Product Development, OPD, Software Product Engineering, etc. It is listed on BSE & NSE.","Python
Identity Access Management (IAM)
AWS",https://www.instahyre.com/job-290967-software-engineer-at-persistent-systems-bangalore/
Portkey - Software Engineer,Job available in Bangalore,Founded in 2023,0 - 10 employees,Portkey is a technology company building a full-stack LLM Ops platform that empowers AI builders to create production-ready Generative AI apps reliably and securely while also ensuring compliance.,"Python
TypeScript
Node.js
Data Structures
JavaScript",https://www.instahyre.com/job-290865-software-engineer-at-portkey-bangalore/
SigTech - Full Stack Engineer (Backend),Job available in Bangalore,Founded in 2019,50 - 200 employees,"SigTech specializes in offering a future-proof quant trading platform to global investment managers that validates financial data and provides the tools to research, build, and deploy customized strategies.","Python
React.js
HTML
JavaScript
Flask",https://www.instahyre.com/job-290918-full-stack-engineer-backend-at-sigtech-bangalore/
Terralogic - SD - WAN - Solution Testing,Job available in Bangalore,Founded in 2008,500 - 1000 employees,"Terralogic provides technology services to the connected world specializing in loud and Virtualization, Data Security, Enterprise Cyber Security, IT Professional Consulting, IT Managed Services, etc.","Python
Network Testing",https://www.instahyre.com/job-290789-sd-wan-solution-testing-at-terralogic-bangalore/
Velotio Technologies - Senior Platform Engineer - Golang & Kubernetes,Job available in Pune,Founded in 2016,200 - 500 employees,"Velotio is a product development services provider. It helps SaaS companies in developing products, adding intelligence to existing products, adopting agile infrastructure, and improving product stability.","Python
C++
Golang
Ruby",https://www.instahyre.com/job-290813-senior-platform-engineer-golang-kubernetes-at-velotio-technologies-pune/
Wipro - Fullstack Development Manager,Job available in Pune,Founded in 1945,More than 1000 employees,"Wipro is a leading global information technology, consulting and business process services company. Founded in 1945 it has over 160,000 employees serving clients across six continents leverage technology solutions.","Python
C++
Embedded C
RTOS
AUTOSAR",https://www.instahyre.com/job-290933-fullstack-development-manager-at-wipro-pune/
Zoomcar - Associate Director - Data Science and Engineering,Job available in Bangalore,Founded in 2012,200 - 500 employees,"Zoomcar is a membership-based self-drive car rental service that allows individuals to rent vehicles. Its vehicle catalogue offers a wide variety of cars for self-drive, ranging from hatchbacks to SUVs and more.","Python
Computer Vision
Data Mining
Java
Machine Learning",https://www.instahyre.com/job-290804-associate-director-data-science-and-engineering-at-zoomcar-bangalore/
Alyve Health - Data Engineering Lead,Job available in Work From Home,Founded in 2020,10 - 50 employees,"Alyve Health is a health-tech company providing an online AI-based health monitoring and wellness benefits app catering to the needs of corporates, digital platforms, alumni associations, clubs, and more.","Python
Data Analysis
Data Warehousing",https://www.instahyre.com/job-290942-data-engineering-lead-at-alyve-health-work-from-home/
Apposite - SSE,Job available in Noida,Founded in 2012,10 - 50 employees,"Astuto is a software company building an AI-first cloud efficiency platform that helps businesses reduce costs, improve cloud operations, and accelerate delivery velocity through automation and control solutions.","Python
Computer Vision
Machine Learning
PyTorch
+2",https://www.instahyre.com/job-290826-sse-at-apposite-noida/
Avaamo - Data Analyst (Internship),Job available in Bangalore,Founded in 2014,50 - 200 employees,"Avaamo is a deep-learning software company that specializes in conversational interfaces to solve specific, high impact problems in the enterprise. It works in advanced NLU, Speech Design, Voice Based Assistant.","Python
JasperReports
Microsoft Excel
Power BI
QlikView
+4",https://www.instahyre.com/job-290713-data-analyst-internship-at-avaamo-bangalore/
